variable,label,question,valid_range,missing_codes,years_available,has_notes,n_value_labels
VCF0004,Year of Study,Year of study (4-digit),,,,No,0
VCF0006,Study Respondent Number: Year-level Case ID,Case identification number,,,"1948, 1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,0
VCF0006a,Unique Respondent Number (Cross-year ID for panel cases),Unique identification number,,,,Yes,0
VCF0009x,"Weight: For 1970 type 0 - 2012, 2016, 2024 FTF sample","CDF Weight: 1970 type 0 - 2012,2016,2024 FTF sample",,,"1958, 1960, 1974, 1976, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2024",Yes,0
VCF0009y,"Weight: For 1970 type 0 - 2012, 2016, 2024 Web sample","CDF Weight: 1970 type 0 - 2012,2016,2024 Web sample",,,"1958, 1960, 1974, 1976, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2024",Yes,0
VCF0009z,Weight: For 1970 type 0 - 2012-2024 full sample,"CDF Weight: 1970 type 0 - 2012,2016,2020,2024 full sample",,,"1958, 1960, 1974, 1976, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,0
VCF0010x,"Weight: For 1970 type 1 - 2012, 2016, 2024 FTF sample","CDF Weight: 1970 type 1 - 2012,2016,2024 FTF sample",,,"1958, 1960, 1970, 1974, 1976, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2024",Yes,0
VCF0010y,"Weight: For 1970 type 1 - 2012, 2016, 2024 Web sample","CDF Weight: 1970 type 1 - 2012,2016,2024 Web sample",,,"1958, 1960, 1970, 1974, 1976, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2024",Yes,0
VCF0010z,Weight: For 1970 type 1 - 2012-2024 full sample,"CDF Weight: 1970 type 1 - 2012,2016,2020,2024 full sample",,,"1958, 1960, 1970, 1974, 1976, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2024",Yes,0
VCF0011x,"Weight: For 1970 type 2 - 2012, 2016, 2024 FTF sample","CDF Weight: 1970 type 2 - 2012,2016,2024 FTF sample",,,"1958, 1960, 1970, 1974, 1976, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2024",Yes,0
VCF0011y,"Weight: For 1970 type 2 - 2012, 2016, 2024 Web sample","CDF Weight: 1970 type 2 - 2012,2016,2024 Web sample",,,"1958, 1960, 1970, 1974, 1976, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2024",Yes,0
VCF0011z,Weight: For 1970 type 2 - 2012-2024 full sample,"CDF Weight: 1970 type 2 - 2012,2016,2020,2024 full sample",,,"1958, 1960, 1970, 1974, 1976, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2024",Yes,0
VCF0012,Form Filter for Paper Questionnaires,Form or interview type of paper questionnaire,1-2,9,,Yes,0
VCF0013,Completion - Post-election (flag),Post-election interview data present,0-1,,"1952, 1960, 1964, 1968, 1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,2
VCF0014,Completion - Pre-election (flag),Pre-election interview data present,0-1,,"1948, 1952, 1960, 1988, 2016, 2020, 2024",Yes,2
VCF0015a,Abbreviated Interview - Pre,Abbreviated interview form - Pre,0-2,,"1980, 1992, 1996, 2000",Yes,3
VCF0015b,Abbreviated Interview - Post,Abbreviated interview form - Post,0-2,,"1952, 1968, 1972, 1984, 1992, 1996",Yes,3
VCF0016,Cross-section composition: fresh Cross or panel case,Sample component: ‘new’ cross-section or panel case,0-1,,"1992, 1994, 1996, 2002",Yes,2
VCF0017,Mode of Interview,Mode of interview,0-9,,"1984, 1992, 1994, 1996, 1998, 2000, 2002, 2012, 2016, 2020, 2024",Yes,6
VCF0018a,Language of Interview - Pre,"1980: Was this interview conducted in English? (IF NO:) In What
language
was this interview conducted?
1984,1988,1992: W",0-7,9,"1980, 1984, 1988, 1992, 2004, 2008, 2012, 2020, 2024",Yes,6
VCF0018b,Language of Interview - Post,"1978-1982: Was this interview conducted in English? (IF NO:) In What
language
was this interview conducted?
1984,1986,19",0-7,9,"1978, 1980, 1982, 1984, 1986, 1990, 1992, 1994, 2008, 2012, 2020, 2024",Yes,7
VCF0019,R Relationship to Head of HH 1952-1986,R’s relationship to head,1-3,0;9,"1952, 1956, 1958, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986",Yes,5
VCF0050a,Respondent Level of Political Info - Pre,"PRE INTERVIEWER OBSERVATION: 
Respondent’s general level of
information about politics and public
affairs seemed:",1-5,9,"1968, 1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2002, 2004, 2008, 2012, 2016",Yes,6
VCF0050b,Respondent Level of Political Info - Post,"POST INTERVIEWER OBSERVATION: 
Respondent’s general level of
information about politics and public
affairs seemed:",1-5,0;9,"1966, 1968, 1970, 1974, 1978, 1980, 1982, 1984, 1986, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016",Yes,7
VCF0070a,Interviewer Gender - Pre,Pre interviewer gender,1-2,9,"1988, 1992, 1996, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0070b,Interviewer Gender - Post,Post interviewer gender,1-2,0;9,"1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0071a,Interviewer Race Full - Pre,Pre interviewer race - full,1-7,9,"1988, 1992, 1996, 2000, 2002",Yes,6
VCF0071b,Interviewer Race Full - Post,Post interviewer race - full,1-7,0;9,"1990, 1992, 1994, 1996, 1998, 2000, 2002",Yes,7
VCF0071c,Interviewer Race 2-category - Pre,Pre interviewer race 2-category,1-7,9,"1988, 1992, 1996, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0071d,Interviewer Race 2-category - Post,Post interviewer race 2-category,1-7,0;9,"1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0072a,Interviewer Ethnicity - Pre,Pre interviewer ethnicity,1-7,9,"1988, 1992, 1996, 2000, 2002, 2008, 2012, 2016, 2020",Yes,4
VCF0072b,Interviewer Ethnicity - Post,Post interviewer ethnicity,1-7,0;9,"1990, 1992, 1994, 1996, 1998, 2000, 2002, 2008, 2012, 2016, 2020",Yes,5
VCF0101,Respondent - Age,"1964-1976: What is your date of birth?
1978-1982: What is the month
and year of your birth?
1984-LATER: What is the mont",17-99,0,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0102,Respondent - Age Group,"1964-1976: What is your date of birth?
1978-1982: What is the month
and year of your birth?
1984-LATER: What is the mont",1-7,0,"1948, 1952, 2016, 2020, 2024",Yes,8
VCF0103,Respondent - Cohort,"1964-1976: What is your date of birth?
1978-1982: What is the month
and year of your birth?
1984-LATER: What is the mont",1-8,0,"2016, 2020, 2024",Yes,9
VCF0104,Respondent - Gender,Respondent gender,1-3,0,"1948, 1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0105a,"Race-ethnicity summary, 7 categories","1948,1952,1956-1970: Interviewer observation of Race.
 1972-1976:
Interviewer observation of Race.
 In addition to being",1-7,9,"1948, 1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,8
VCF0105b,"Race-ethnicity summary, 4 categories","1948,1952,1956-1970: Interviewer observation of Race.
 1972-1976:
Interviewer observation of Race.
 In addition to being",1-4,0;9,"1948, 1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,6
VCF0106,"Race summary, 3 categories","1948,1952,1956-1970: Interviewer observation of Race.
 1972-1976:
Interviewer observation of Race.
 In addition to being",1-3,0;9,"1948, 1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0107,Respondent - Hispanic Origin Type,"1988-2008: 
In addition to being American, what do you
consider
your main ethnic group or nationality group? (IF NO HISP",1-7,0;8;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,8
VCF0108,Respondent - Hispanic Origin,"1988 AND LATER: In addition to being American, what do you
consider
your main ethnic group or nationality group? (IF NO ",1-2,0;8;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0109,Respondent - Ethnicity,"In addition to being an American what do you consider your
main
ethnic group or nationality group?
(IF MORE THAN 1 GROUP",10-874,0;877;888,"1972, 1974, 1976, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008",Yes,3
VCF0110,Respondent - Education 4-category,"1952-1972: How many grades of school did you finish?
 1974,1976: What
is highest grade of school or year of college
 you",1-4,0,"1948, 1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0111,Urbanism,Urbanism,1-3,0,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000",Yes,4
VCF0112,Census Region,Region - U.S. Census,1-4,0,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0113,Political South/Nonsouth,Region - political south,1-2,,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020",Yes,2
VCF0114,Respondent Family - Income Group,"1952,1956-1960: 
 About what do you think your total income will be
this year for yourself
 and your immediate family?
 ",1-5,0,"1948, 1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,6
VCF0115,Respondent - Occupation Group 6-category,"1952-1964: 
What is your occupation. I mean, what kind of work do you
do? (IF NOT
CLEAR OR OBVIOUS [1958,1960,1964 only]",1-6,0,"1952, 1956, 1958, 1960, 1964, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004",Yes,7
VCF0116,Respondent - Work Status 7-category,"1972-1978: 
(1972: We’d like to know if you are looking for work,
working now) (1974-
1978: We’d like to know if you are",1-8,9,"1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,8
VCF0117,Head of HH - Work Status 7-category 1948-1986,"1948: What is [head’s] occupation, I mean, what kind of work
does
head) do?
1972-1978:
We’d also like to know about the ",1-8,9,"1948, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986",Yes,8
